
       6699 atoms
           2 atom types
  -74.0200005       160.260002     xlo xhi
  -74.0200005       160.260002     ylo yhi
  -74.0200005       160.260002     zlo zhi
 Atoms

        2019           1   6.86000013      0.980000019       81.3399963    
        2020           1   6.86000013       2.94000006       79.3799973    
        2021           1   4.90000010      0.980000019       83.3000031    
        2022           1   4.90000010       2.94000006       85.2600021    
        2023           1   6.86000013      0.980000019       85.2600021    
        2024           1   6.86000013       2.94000006       83.3000031    
        2025           1   4.90000010       4.90000010      0.980000019    
        2026           1   4.90000010       6.86000013       2.94000006    
        2027           1   6.86000013       4.90000010       2.94000006    
        2028           2   6.86000013       6.86000013      0.980000019    
        2029           2   4.90000010       4.90000010       4.90000010    
        2030           2   4.90000010       6.86000013       6.86000013    
        2031           1   6.86000013       4.90000010       6.86000013    
        2032           2   6.86000013       6.86000013       4.90000010    
        2033           1   4.90000010       4.90000010       8.81999969    
        2034           1   4.90000010       6.86000013       10.7799997    
        2035           1   6.86000013       4.90000010       10.7799997    
        2036           1   6.86000013       6.86000013       8.81999969    
        2037           2   4.90000010       4.90000010       12.7399998    
        2038           1   4.90000010       6.86000013       14.6999998    
        2039           1   6.86000013       4.90000010       14.6999998    
        2040           1   6.86000013       6.86000013       12.7399998    
        2041           2   4.90000010       4.90000010       16.6599998    
        2042           1   4.90000010       6.86000013       18.6200008    
        2043           1   6.86000013       4.90000010       18.6200008    
        2044           1   6.86000013       6.86000013       16.6599998    
        2045           1   4.90000010       4.90000010       20.5799999    
        2046           2   4.90000010       6.86000013       22.5400009    
        2047           2   6.86000013       4.90000010       22.5400009    
        2048           1   6.86000013       6.86000013       20.5799999    
        2049           1   4.90000010       4.90000010       24.5000000    
        2050           2   4.90000010       6.86000013       26.4599991    
        2051           1   6.86000013       4.90000010       26.4599991    
        2052           1   6.86000013       6.86000013       24.5000000    
        2053           1   4.90000010       4.90000010       28.4200001    
        2054           1   4.90000010       6.86000013       30.3799992    
        2055           2   6.86000013       4.90000010       30.3799992    
        2056           1   6.86000013       6.86000013       28.4200001    
        2057           1   4.90000010       4.90000010       32.3400002    
        2058           1   4.90000010       6.86000013       34.2999992    
        2059           1   6.86000013       4.90000010       34.2999992    
        2060           2   6.86000013       6.86000013       32.3400002    
        2061           2   4.90000010       4.90000010       36.2599983    
        2062           1   4.90000010       6.86000013       38.2200012    
        2063           2   6.86000013       4.90000010       38.2200012    
        2064           2   6.86000013       6.86000013       36.2599983    
        2065           1   4.90000010       4.90000010       40.1800003    
        2066           1   4.90000010       6.86000013       42.1399994    
        2067           1   6.86000013       4.90000010       42.1399994    
        2068           1   6.86000013       6.86000013       40.1800003    
        2069           1   4.90000010       4.90000010       44.0999985    
        2070           1   4.90000010       6.86000013       46.0600014    
        2071           1   6.86000013       4.90000010       46.0600014    
        2072           1   6.86000013       6.86000013       44.0999985    
        2073           1   4.90000010       4.90000010       48.0200005    
        2074           1   4.90000010       6.86000013       49.9799995    
        2075           2   6.86000013       4.90000010       49.9799995    
        2076           1   6.86000013       6.86000013       48.0200005    
        2077           1   4.90000010       4.90000010       51.9399986    
        2078           1   4.90000010       6.86000013       53.9000015    
        2079           2   6.86000013       4.90000010       53.9000015    
        2080           1   6.86000013       6.86000013       51.9399986    
        2081           2   4.90000010       4.90000010       55.8600006    
        2082           1   4.90000010       6.86000013       57.8199997    
        2083           1   6.86000013       4.90000010       57.8199997    
        2084           1   6.86000013       6.86000013       55.8600006    
        2085           2   4.90000010       4.90000010       59.7799988    
        2086           1   4.90000010       6.86000013       61.7400017    
        2087           1   6.86000013       4.90000010       61.7400017    
        2088           1   6.86000013       6.86000013       59.7799988    
        2089           1   4.90000010       4.90000010       63.7000008    
        2090           2   4.90000010       6.86000013       65.6600037    
        2091           1   6.86000013       4.90000010       65.6600037    
        2092           1   6.86000013       6.86000013       63.7000008    
        2093           2   4.90000010       4.90000010       67.6200027    
        2094           2   4.90000010       6.86000013       69.5800018    
        2095           1   6.86000013       4.90000010       69.5800018    
        2096           1   6.86000013       6.86000013       67.6200027    
        2097           1   4.90000010       4.90000010       71.5400009    
        2098           1   4.90000010       6.86000013       73.5000000    
        2099           2   6.86000013       4.90000010       73.5000000    
        2100           2   6.86000013       6.86000013       71.5400009    
        2101           1   4.90000010       4.90000010       75.4599991    
        2102           2   4.90000010       6.86000013       77.4199982    
        2103           1   6.86000013       4.90000010       77.4199982    
        2104           1   6.86000013       6.86000013       75.4599991    
        2105           1   4.90000010       4.90000010       79.3799973    
        2106           1   4.90000010       6.86000013       81.3399963    
        2107           2   6.86000013       4.90000010       81.3399963    
        2108           2   6.86000013       6.86000013       79.3799973    
        2109           1   4.90000010       4.90000010       83.3000031    
        2110           1   4.90000010       6.86000013       85.2600021    
        2111           1   6.86000013       4.90000010       85.2600021    
        2112           1   6.86000013       6.86000013       83.3000031    
        2113           1   4.90000010       8.81999969      0.980000019    
        2114           2   4.90000010       10.7799997       2.94000006    
        2115           2   6.86000013       8.81999969       2.94000006    
        2116           2   6.86000013       10.7799997      0.980000019    
        2117           1   4.90000010       8.81999969       4.90000010    
        2118           2   4.90000010       10.7799997       6.86000013    
        2119           2   6.86000013       8.81999969       6.86000013    
        2120           1   6.86000013       10.7799997       4.90000010    
